DATE,SEASON,AVY_DANGER,AVY_CHARACTER,WET_DANGER,DRY_DANGER,WET_LOOSE,WET_SLAB,WIND_SLAB,STORM_SLAB,CORNICE_FALL,PERSISTENT_SLAB,DEEP_SLAB,DRY_LOOSE,GLIDE_AVALANCHE,LONG_SLIDING_FALL,AWND,PGTM,PRCP,PRCP_ATTRIBUTES,PSUN,SNOW,FIVE_DAY_SNOWFALL,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_SWING,TMAX_SWING_FROM_AVE,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,SKY CONDITION,PRECIP TYPE/RATE,FORM/SIZE,HN24_CM,HW in Tube (MM),H24W in Can (MM),DENSITY (KG/M3),HST (CM),HS_CM,SETTLEMENT/MELT,Surf Temp (C),T-10 (C),T-20 (C),CURRENT TEMP,X24_HR_MAX,24HRMAX_SWING,24 HR MIN
12/28/10,2010/2011,4,DRY,0,4,0,0,4,4,0,0,0,0,0,N,69.12,2217,0,",,0,2400",27,0,8.8,",,0,",21,",,0,",4,-3,-11.8,",,0",-15,",,0",145,",,X",320,",,X",104.9,",,X",CLR,,,,,,,38,85,5,-16.8,-11.1,-11.5,-13,-9,-3,-17
12/29/10,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,60.84,25,0,"T,,0,2400",0,0,8.8,"T,,0,",21,",,0,",19,15,5.4,",,0",-1,",,0",0,",,X",320,",,X",87,",,X",X,S-1,SD,,,,,,83,2,-9.9,-11.4,-8.9,-9,-9,0,-17
12/30/10,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,40.04,9,0,",,0,2400",93,0,8.8,",,0,",21,",,0,",26,7,12,",,0",17,",I,0",510,",,X",320,",,X",62,",,X",SCT,,,,,3.2,,,76,7,-6.9,-8.1,-6.2,-4,-4,5,-12
12/31/10,2010/2011,1,BOTH,1,1,0,1,1,0,0,0,0,0,0,N,44.29,1251,0,",,0,2400",5,0,7.8,",,0,",20,",,0,",37,11,22.2,",,0",22,",I,0",30,",,X",270,",,X",61.1,",,X",BKN,,,,,,,,75,1,-0.4,-3.8,-3.2,2,2,6,-6
1/1/11,2010/2011,3,WET,3,0,3,3,0,0,0,0,0,0,0,N,41.38,326,0,"T,,X,2400",2,0,0,",,X,",14,",,X,",42,5,23.4,",,X",33,",,X",10,",,X",270,",,X",66.9,",,X",X,RV,R,,,2.2,,,65,10,0,0,0,3,6,4,1
1/2/11,2010/2011,1,WET,1,0,1,1,0,0,0,0,0,0,0,N,28.41,1009,0.11,",,X,2400",33,0,0,"T,,Z,",5,",,X,",38,-4,12.4,",,X",5,",,X",180,",,X",270,",,X",53,",,X",OVC,,,,,0.8,,,54,11,0,0,0,7,8,2,3
1/3/11,2010/2011,1,ICE,0,0,0,0,0,0,0,0,0,0,0,Y,76.28,2007,0.05,",,X,2400",0,0.6,0.6,",,X,",5,",,X,",5,-33,-27.4,",,X",-2,",,X",0,",,X",320,",,X",125.9,",,X",OVC,,,,,,,,50,4,-9.9,-4.7,-1,-13,7,-1,-13
1/4/11,2010/2011,1,ICE,0,0,0,0,0,0,0,0,0,0,0,Y,55.7,313,0.07,",,X,2400",0,1.5,2.1,",,X,",5,",,X,",7,2,-22.6,",,X",-2,",,X",0,",,X",320,",,X",98,",,X",SCT,,,,,,,,50,0,-11.3,-8.5,-4.5,-14,-12,-19,-14
1/5/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,Y,72.25,1036,0.1,",,X,2400",,1.5,3.6,",,X,",7,",,X,",5,-2,-20.8,",,X",-7,",,X",0,",,X",270,",,X",106,",,X",X,S-1,SD0.5,6.5,3.8,1.4,58,,58,0,-9.7,-6.5,-4.1,-12,-9,3,-14
1/6/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,Y,37.8,256,0,"T,,X,2400",67,0,3.6,"T,,Z,",7,",,X,",-1,-6,-20.4,",,X",-8,",,X",372,",,X",320,",,X",94,",,X",OVC,S-1,"CL1, ND1, PL1",3.3,3,0.8,79,,57,4.3,-12.4,-8.8,-5.5,-16,-10,-1,-16
1/7/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,Y,14.32,1125,0.03,",,X,2400",47,0.4,4,",,X,",7,",,X,",8,9,-2.8,",,X",-6,",,X",260,",,X",180,",,X",25.1,",,X",OVC,,,,,,,4.5,56,1,-14.8,-11.1,-7,-16,-9,1,-17
1/8/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,13.42,2355,0,"T,,X,2400",7,0.7,4.1,",,X,",7,",,X,",10,2,5.2,",,X",6,",,X",40,",,X",360,",,X",23,",,X",BKN,,,,,,,,56,,-11.6,-8.2,-6,-15,-10,-1,-18
1/9/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,58.61,2031,0.1,",,X,2400",0,0.9,3.5,",,X,",8,",,X,",9,-1,3.2,",,X",-7,",,X",0,",,X",270,",,X",89.9,",,X",X,S-1,"ST1, RST3",1.5,,0.3,,,56,1.5,-8.2,-6.5,-5.3,-11,-6,4,-15
1/10/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,Y,50.33,1733,0.07,",,X,2400",30,0.6,2.6,",,X,",8,",,X,",19,10,12.8,",,X",-8,",,X",167,",,X",320,",,X",77,",,X",OVC,,,3,5,1.5,166,3.8,58,1,-10.8,-8.2,-5.3,-13,-10,-4,-17
1/11/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,Y,14.54,425,0,",,X,2400",94,0,2.6,",,X,",8,",,X,",22,3,13,",,X",12,",,X",527,",,X",320,",,X",34.9,",,X",CLR,,,,,,,,58,0,-14.1,-6.8,-4.1,-14,-4,6,-18
1/12/11,2010/2011,4,DRY,0,4,0,0,4,4,0,0,0,0,0,N,45.63,1016,0.47,",,X,2400",0,8.8,11,",,X,",8,",,X,",17,-5,3.4,",,X",3,",,X",0,",,X",90,",,X",82.1,",,X",X,S-1,"RCL2, RSD1-2",,,,,,58,0,-9.8,-6.5,-4.5,-11,-6,-2,-16
1/13/11,2010/2011,3,DRY,0,3,0,0,3,3,0,0,0,0,0,N,32.88,636,0.11,",,X,2400",44,1.4,11.7,",,X,",10,",,X,",8,-9,-7.4,",,X",-3,",,X",250,",,X",320,",,X",83,",,X",X,S1,,41,38,20.4,,,105,0,-12.4,-9.6,-8.9,-14,-9,-3,-14
1/14/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,13.87,1921,0,",,X,2400",100,0,10.8,",,X,",10,",,X,",10,2,-5,",,X",-3,",,X",563,",,X",320,",,X",36.9,",,X",OVC,,,2,1,0.6,,40,103,4,-17.9,-13.4,-8.9,-20,-20,-11,-10
1/15/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,34.45,1847,0.1,",,X,2400",61,1.4,11.6,",,X,",10,",,X,",5,-5,-10.2,",,X",-3,",,X",348,",,X",230,",,X",83,",,X",CLR,,,,,,,,98,5,-18.5,-16.5,-12,-20,-11,9,-21
1/16/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,53.24,8,0.1,",,X,2400",0,1.1,12.7,",,X,",11,",,X,",4,-1,-8.4,",,X",-15,",,X",0,",,X",270,",,X",81,",,X",X,S1,ST1-3,4.8,2.5,,52,,100,3,-10.3,-10,-9.1,-13,-8,3,-19
1/17/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,34.23,25,0,",,X,2400",100,0,3.9,",,X,",11,",,X,",9,5,0.2,",,X",-17,",,X",569,",,X",270,",,X",59.9,",,X",CLR,,,3,3,0.6,100,4.8,95,8,-19.4,-13.8,-11.1,-24,-14,-6,-24
1/18/11,2010/2011,4,DRY,0,4,0,0,4,4,0,0,0,0,0,N,46.3,1347,0.59,",,X,2400",0,8.3,10.8,",,X,",11,",,X,",28,19,20.8,",,X",7,",,X",0,",,X",180,",,X",76.1,",,X",OVC,,,,,,,,91,4,-5.3,-9.1,-10.4,-5,-5,9,-23
1/19/11,2010/2011,3,DRY,0,3,0,0,3,3,0,0,0,0,0,N,13.2,7,0.21,",,X,2400",5,3,13.8,",,X,",16,",,X,",29,1,17.8,",,X",14,",,X",30,",,X",140,",,X",38,",,X",X,,,15,22,17.5,147,13.5,100,6,-2.9,-2.5,-3.1,-3,0,5,-6
1/20/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,28.86,455,0,"T,,X,2400",18,0,12.4,"T,,Z,",18,",,X,",15,-14,0,",,X",-4,",,X",105,",,X",320,",,X",50.1,",,X",BKN,S-1,ST1-3,4.5,5,4,111,,100,4.5,-8.9,-6.8,-4.7,-12,0,0,-12
1/21/11,2010/2011,4,DRY,0,4,0,0,4,0,0,0,0,0,0,N,44.96,1755,0.19,",,X,2400",0,1.9,13.2,",,X,",18,",,X,",7,-8,-10,",,X",-14,",,X",0,",,X",270,",,X",100.9,",,X",X,S2,"PL2, ST2, ND2",3,1.5,1,50,,102,1,-9.7,-9.7,-7.3,-12,-5,-5,-15
1/22/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,42.95,245,0,",,X,2400",91,0,13.2,",,X,",19,",,X,",-3,-10,-20.6,",,X",-19,",,X",525,",,X",270,",,X",89,",,X",FEW,,,8,11,4.4,138,13,105,5,-19.6,-11.9,-8,-21,-9,-4,-22
1/23/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,41.38,1653,0.02,",,X,2400",9,0.2,5.1,",,X,",19,",,X,",-7,-4,-22.2,",,X",-34,",,X",55,",,X",320,",,X",79,",,X",BKN,S-1,"RSD1, RND1, RCL1",,,,,,104,1,-18.4,-15.8,-13.3,-21,-15,-6,-21
1/24/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,55.7,629,0,"T,,X,2400",100,0,2.1,"T,,Z,",19,",,X,",-2,5,-10.2,",,X",-35,",,X",583,",,X",320,",,X",89,",,X",CLR,,,,,,,,100,4,-25.9,-21.4,-19,-26,-30,-15,-17
1/25/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,45.41,1440,0.07,",,X,2400",0,1.4,3.5,",,X,",19,",,X,",9,11,7,",,X",-2,",,X",0,",,X",270,",,X",70,",,X",X,S-1,RSD0.5-1,0.5,,,,,103,0,-10.2,-13.7,-12.4,-9,-9,21,-26
1/26/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,19.91,28,0,",,X,2400",73,0,1.6,",,X,",19,",,X,",17,8,16.2,",,X",4,",,X",430,",,X",270,",,X",51,",,X",OVC,,,,0.5,0.4,,1.7,103,1,-9.7,-8.3,-6.8,-11,-8,1,-15
1/27/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,24.61,1059,0.06,",,X,2400",26,0.9,2.5,",,X,",18,",,X,",17,0,14.2,",,X",-1,",,X",155,",,X",360,",,X",51.9,",,X",OVC,,,1,0.5,0.8,,1,101,2,-10.2,-8.2,-6.8,-12,-5,3,-12
1/28/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,20.36,811,0.02,",,X,2400",46,1.3,3.6,",,X,",18,",,X,",7,-10,0.2,",,X",0,",,X",270,",,X",320,",,X",36.9,",,X",OVC,,,,,,,,100,1,-12.4,-8.9,-6.8,-14,-8,-3,-14
1/29/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,12.97,707,0.04,",,X,2400",10,1.6,5.2,",,X,",20,",,X,",9,2,-0.6,",,X",1,",,X",60,",,X",270,",,X",29.1,",,X",,,,,,,,,,,,,,,,,
1/30/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,26.62,2349,0.05,",,X,2400",1,0.9,4.7,",,X,",21,",,X,",4,-5,-7.8,",,X",-11,",,X",5,",,X",270,",,X",72.9,",,X",,,,,,,,,,,,,,,,,
1/31/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,46.98,639,0,",,X,2400",95,0,4.7,",,X,",19,",,X,",1,-3,-9.8,",,X",-18,",,X",571,",,X",320,",,X",74,",,X",,,,,,,,,,,,,,,,,
2/1/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,29.97,355,0.06,",,X,2400",0,1.7,5.5,",,X,",17,",,X,",10,9,2.4,",,X",-3,",,X",0,",,X",270,",,X",40,",,X",OVC,,,0,0,0,,,99,1,-10,-12.8,-12,-15,-11,,-22
2/2/11,2010/2011,4,DRY,0,4,0,0,4,4,0,0,0,0,0,N,29.08,841,0.66,",,X,2400",0,9.3,13.5,",,X,",18,",,X,",20,10,13.8,",,X",2,",,X",0,",,X",140,",,X",55.9,",,X",X,S2,"ST2, RSD2, PL/ND1",12,11,10.5,92,,107,4,-12.8,-11.9,-10.7,-14,-12,-1,-16
2/3/11,2010/2011,3,DRY,0,3,0,0,3,3,0,0,0,0,0,N,23.71,2220,0,"T,,X,2400",100,0.1,12,",,X,",23,",,X,",6,-14,-2.8,",,X",-2,",,X",607,",,X",270,",,X",57.9,",,X",CLR,,,26,21,,81,35.5,133,0,-16.7,-12.7,-11.1,-17,-8,4,-17
2/4/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,53.24,1452,0,",,X,2400",72,0,11.1,",,X,",23,",,X,",11,5,2.8,",,X",-2,",,X",441,",,X",270,",,X",74.9,",,X",CLR,,,3,3,1,100,3,128,8,-15.1,-13.2,-11.6,-13,-8,0,-17
2/5/11,2010/2011,3,DRY,0,3,0,0,3,0,0,3,0,0,0,N,44.74,2114,1.26,",,X,2400",57,7.8,18.9,",,X,",23,",,X,",25,14,15.4,",,X",6,",,X",347,",,X",140,",,X",78.1,",,X",CLR,,,0,0,,,0,125,3,-10,-10.6,-10.3,-7,-6,2,-14
2/6/11,2010/2011,4,DRY,0,4,0,0,4,0,0,0,0,0,0,N,57.04,639,0.33,",,X,2400",0,1.8,19,",,X,",29,",,X,",24,-1,9.6,",,X",5,",,X",0,",,X",320,",,X",104,",,X",X,S1,"GP2, RSD2",18,30,25,167,,137,0,-6.7,-4.8,-4.5,-7,1,7,-7
2/7/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,32.88,1113,0,"T,,X,2400",0,0.2,9.9,",,X,",29,",,X,",19,-5,1.8,",,X",8,",,X",0,",,X",230,",,X",51,",,X",BKN,,,,,,,18.5,135,2,-7.7,-7.4,-7,-6,-6,-7,-7
2/8/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,38.7,2312,0.3,",,X,2400",0,3.8,13.6,",,X,",30,",,X,",18,-1,1,",,X",-22,",,X",0,",,X",270,",,X",87,",,X",X,S-1,SD1,1,2,1.5,,,132,3,-6.3,-4.8,-4.6,-6,-4,2,-8
2/9/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,70.91,202,0,",,X,2400",6,0,13.6,",,X,",30,",,X,",-2,-20,-21.4,",,X",-22,",,X",40,",,X",320,",,X",104,",,X",BKN,,,7,11,1.4,,8,138,0,-18.1,-10.9,-6.5,-18,-5,-1,-22
2/10/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,56.37,1328,0,",,X,2400",2,0,5.8,",,X,",24,",,X,",-6,-4,-22.8,",,X",-13,",,X",15,",,X",270,",,X",85,",,X",OVC,,,,,,,,135,3,-16.2,-13.6,-10,-17,-15,-10,-20
2/11/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,43.62,731,0,",,X,2400",12,0,4,",,X,",22,",,X,",-1,5,-11.6,",,X",-12,",,X",78,",,X",270,",,X",65.1,",,X",OVC,,,,,,,,131,4,-6.7,-10.3,-14.2,-18,-14,1,-18
2/12/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,57.04,2258,0.03,",,X,2400",0,0.4,4.2,",,X,",22,",,X,",5,6,-0.6,",,X",-6,",,X",0,",,X",270,",,X",102,",,X",BKN,,,0,0,0,,,130,1,-12.5,-14.1,-12.5,-12,-12,2,-18
2/13/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,57.71,20,0.13,",,X,2400",18,1.7,2.1,",,X,",22,",,X,",18,13,15.2,",,X",-9,",,X",115,",,X",270,",,X",97.1,",,X",CLR,,,2.8,,,71,2.8,133,0,-11.4,-14,-12.4,-17,-9,3,-17
2/14/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,56.82,2123,0.1,",,X,2400",0,1.7,3.8,",,X,",22,",,X,",24,6,21.2,",,X",-9,",,X",0,",,X",360,",,X",97.1,",,X",OVC,,,1,,1.4,,1,132,2,-2.7,-7,-7.4,0,1,10,-17
2/15/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,82.54,130,0,"T,,X,2400",90,0,3.8,"T,,Z,",22,",,X,",6,-18,-2,",,X",-19,",,X",580,",,X",320,",,X",117.9,",,X",OVC,,,9.5,10.5,10.5,111,11,143,0,-20.2,-9.7,-8.6,-21,1,0,-21
2/16/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,49.21,24,0.02,",,X,2400",4,0.3,4.1,",,X,",20,",,X,",21,15,10.6,",,X",5,",,X",25,",,X",320,",,X",89,",,X",BKN,,,0,0,,,0,139,4,-10,-10.4,-9.2,-7,-6,-7,-22
2/17/11,2010/2011,3,BOTH,3,3,0,3,3,0,0,0,0,0,0,N,36.91,251,0.02,",,X,2400",92,0.1,3.8,",,X,",20,",,X,",33,12,18.2,",,X",17,",,X",594,",,X",270,",,X",57.9,",,X",FEW,,,0,0,,,0,136,3,-6.5,-7.4,-6.8,-3,-1,5,-8
2/18/11,2010/2011,3,WET,3,0,0,3,0,0,0,0,0,0,0,N,56.37,2148,0,"T,,X,2400",11,0,2.1,"T,,Z,",20,",,X,",34,1,13.6,",,X",13,",,X",70,",,X",270,",,X",83,",,X",OVC,,,0,0,,,0,132,4,-0.7,-0.8,-0.7,6,10,11,-2
2/19/11,2010/2011,4,DRY,0,4,0,0,4,0,0,0,0,0,0,N,56.82,659,0.2,",,X,2400",0,2.1,2.5,",,X,",20,",,X,",13,-21,-10.6,",,X",-14,",,X",0,",,X",270,",,X",91.9,",,X",X,S1,SD1,11.5,7.5,6.8,65,,140,0,-9.4,-4.8,-2.9,-12,9,-1,-12
2/20/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,64.65,214,0,",,X,2400",72,0,2.5,",,X,",20,",,X,",10,-3,-11.4,",,X",-13,",,X",470,",,X",320,",,X",108.9,",,X",SCT,,,,,1.5,,,140,0,-14.4,-8.9,-6.8,-14,-10,-19,-20
2/21/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,48.32,1749,0.09,",,X,2400",11,0.8,3,",,X,",20,",,X,",5,-5,-17.2,",,X",-17,",,X",75,",,X",320,",,X",79,",,X",OVC,S-1,"PL1, ST1",1,0,0.5,,,137,4,-12.9,-9.2,-7.2,-14,-5,5,-17
2/22/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,46.08,2342,0,",,X,2400",100,0,2.9,",,X,",20,",,X,",7,2,-12,",,X",-1,",,X",660,",,X",320,",,X",70.9,",,X",CLR,,,,,,,,135,2,-10.4,-9.4,-7.9,-6,-6,-1,-22
2/23/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,47.65,2,0,",,X,2400",100,0,2.9,",,X,",20,",,X,",16,9,2.2,",,X",4,",,X",665,",,X",320,",,X",70.9,",,X",CLR,,,0,0,0,,0,134,1,-10.1,-9.1,-8.2,-8,-3,3,-15
2/24/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,35.79,1946,0,"T,,X,2400",52,0,0.8,"T,,Z,",18,",,X,",17,1,6.8,",,X",10,",,X",349,",,X",270,",,X",66.9,",,X",SCT,,,0,0,0,,0,132,2,-8.5,-9.7,-7.4,-5,-5,-2,-12
2/25/11,2010/2011,4,DRY,0,4,0,0,4,0,0,0,0,0,0,N,34.67,2227,0.59,",,X,2400",0,5.9,6.7,",,X,",16,",,X,",19,2,8,",,X",-2,",,X",0,",,X",320,",,X",102.9,",,X",OVC,,,,,,,,130,5,,,,-5,-3,2,-8
2/26/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,61.07,254,0.06,",,X,2400",4,0.6,6.5,",,X,",16,",,X,",2,-17,-10.8,",,X",-12,",,X",30,",,X",270,",,X",102.9,",,X",SCT,,,22,23.3,22.2,106,23,153,1,-19.4,-11.2,-8.8,-18,-5,-2,-18
2/27/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,24.38,2359,0.08,",,X,2400",0,2.2,8.7,",,X,",16,",,X,",11,9,-1.2,",,X",2,",,X",0,",,X",230,",,X",45,",,X",X,S1,SD0.5-1,4.2,4,,95,,155,2,-10.8,-11.8,-10.2,-13,-10,-5,-18
2/28/11,2010/2011,4,DRY,0,4,0,0,4,0,0,0,0,0,0,N,57.04,2352,0.3,",,X,2400",0,1.9,10.6,",,X,",17,",,X,",28,17,15,",,X",2,",,X",0,",,X",270,",,X",108,",,X",X,S-1,IR1-2,3,1.2,1.3,40,,158,0,-7.9,-8.8,-8.6,-7,-5,5,-13
3/1/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,57.94,38,0.2,",,X,2400",61,1.1,11.7,",,X,",18,",,X,",10,-18,-5.4,",,X",-7,",,X",414,",,X",320,",,X",112.1,",,X",X,S2,"RST1,2,3",10.5,17,16.9,162,,165,4,-12.7,-8,-7.4,-15,1,6,-15
3/2/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,62.86,2048,0.22,",,X,2400",0,3.4,9.2,",,X,",18,",,X,",11,1,-3,",,X",-21,",,X",0,",,X",270,",,X",108.9,",,X",OVC,,,,,,,16,161,4,-8.3,-9.6,-8.9,-6,-6,-7,-15
3/3/11,2010/2011,3,DRY,0,3,0,0,3,0,0,0,0,0,0,N,58.38,722,0,",,X,2400",99,0,8.6,",,X,",19,",,X,",2,-9,-10.4,",,X",-23,",,X",682,",,X",320,",,X",100.9,",,X",FEW,,,15.3,15,13,98,12,174,2,-22.6,-14.9,-11,-22,-5,1,-24
3/4/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,28.19,2213,0,"T,,X,2400",91,0.2,6.6,",,X,",19,",,X,",24,22,11.6,",,X",1,",,X",628,",,X",230,",,X",59.9,",,X",CLR,,,,,,,0,169,5,-17.6,-15.8,-13.6,-16,-7,-2,-22
3/5/11,2010/2011,2,DRY,0,2,0,0,2,0,0,0,0,0,0,N,48.32,1309,0.03,",,X,2400",0,0.2,4.9,",,X,",19,",,X,",30,6,15,",,X",14,",,X",0,",,X",230,",,X",99.1,",,X",OVC,S-1,"RCL1, RND1, GP1.2",,,,,,165,4,-4.4,-7.4,-7.9,-3,-3,4,-17
